,X,Y,Stock,X1,Y1,category
3555,0.07571908,0.000202972,NA,0.066594282,0.001810255,
3556,0.075928364,0.000192991,NA,0.066677996,0.001767105,
3557,0.077231004,0.000130864,NA,0.066874302,0.001665921,
3558,0.077602639,0.000121562,NA,0.059897183,0.008005316,
3559,0.077937494,0.000113181,NA,0.060399465,0.007250524,
3560,0.079402485,7.65E-05,NA,0.060441322,0.007187625,
3561,0.079486199,7.44E-05,NA,0.060859891,0.006558631,
3562,0.079820179,6.61E-05,NA,0.060943605,0.006432832,
3563,0.081369758,4.61E-05,NA,0.061695951,0.005302262,
3564,0.082248752,3.48E-05,NA,0.061697028,0.005301305,
3565,0.082290609,3.42E-05,NA,0.061906313,0.005115251,
3566,0.082332466,3.37E-05,NA,0.062157454,0.004891987,
3567,0.082409354,3.27E-05,NA,0.063329446,0.003850088,
3568,0.082918462,2.94E-05,NA,0.063371303,0.003812877,
3569,0.083378888,2.64E-05,NA,0.063455017,0.003738456,
3570,0.083797456,2.37E-05,NA,0.064041013,0.003217506,
,,,,0.064285127,0.00300049,
3571,0.08499853,1.59E-05,NA,0.064375868,0.002953718,
3572,0.085136876,1.55E-05,NA,0.06487815,0.002694821,
3573,0.085932157,1.29E-05,NA,0.065631574,0.002306475,
3574,0.087480861,7.92E-06,NA,0.065673431,0.0022849,
3575,0.087587705,7.58E-06,NA,0.065924572,0.002155451,
3576,0.089071422,5.27E-06,NA,0.066594282,0.001810255,
3577,0.089866703,4.03E-06,NA,0.066677996,0.001767105,
3578,0.090176881,3.55E-06,NA,0.066874302,0.001665921,
3579,0.091247979,2.75E-06,NA,0.059897183,0.008005316,
3580,0.092766056,1.63E-06,NA,0.060399465,0.007250524,
3581,0.093340823,1.43E-06,NA,0.060441322,0.007187625,
3582,0.093340823,1.43E-06,NA,0.060859891,0.006558631,
3583,0.094554672,1.01E-06,NA,0.060943605,0.006432832,
3584,0.095355231,7.33E-07,NA,0.061695951,0.005302262,
3585,0.096563802,5.42E-07,NA,0.061697028,0.005301305,
3586,0.096689373,5.22E-07,NA,0.061906313,0.005115251,
3587,0.097944407,3.24E-07,NA,0.062157454,0.004891987,
3588,0.098238077,3.03E-07,NA,0.063329446,0.003850088,
3589,0.100533582,1.40E-07,NA,0.063371303,0.003812877,
3590,0.101209915,1.19E-07,NA,0.063455017,0.003738456,
3591,0.101586627,1.08E-07,NA,0.064041013,0.003217506,
3592,0.102005195,9.45E-08,NA,0.064285127,0.00300049,
3593,0.102047052,9.32E-08,NA,0.064375868,0.002953718,
3594,0.103122758,5.97E-08,NA,0.06487815,0.002694821,
3595,0.103637613,5.28E-08,NA,0.065631574,0.002306475,
3596,0.104600321,3.99E-08,NA,0.065673431,0.0022849,
3597,0.105711933,2.49E-08,NA,0.065924572,0.002155451,
3598,0.106693165,1.93E-08,NA,0.066594282,0.001810255,
3599,0.107614016,1.41E-08,NA,0.066677996,0.001767105,
3600,0.108301109,1.02E-08,NA,0.066874302,0.001665921,
3601,0.109372005,7.68E-09,NA,0.059897183,0.008005316,
3602,0.110890284,4.10E-09,NA,0.060399465,0.007250524,
3603,0.110962566,4.03E-09,NA,0.060441322,0.007187625,
3604,0.111674133,3.35E-09,NA,0.060859891,0.006558631,
3605,0.113479459,1.62E-09,NA,0.060943605,0.006432832,
3606,0.114813398,1.11E-09,NA,0.061695951,0.005302262,
3607,0.115817963,7.21E-10,NA,0.061697028,0.005301305,
3608,0.116068635,6.25E-10,NA,0.061906313,0.005115251,
3609,0.116822528,5.12E-10,NA,0.062157454,0.004891987,
3610,0.11719924,4.55E-10,NA,0.063329446,0.003850088,
3611,0.11865781,2.37E-10,NA,0.063371303,0.003812877,
3612,0.121246986,8.83E-11,NA,0.063455017,0.003738456,
3613,0.121552354,8.17E-11,NA,0.064041013,0.003217506,
3614,0.123836161,3.22E-11,NA,0.064285127,0.00300049,
3615,0.125863612,1.60E-11,NA,0.064375868,0.002953718,
3616,0.126425336,1.16E-11,NA,0.06487815,0.002694821,
3617,0.126993747,9.91E-12,NA,9,0.002306475,
3618,0.127203032,9.30E-12,NA,0.065673431,0.0022849,
3619,0.129014512,4.06E-12,NA,0.065924572,0.002155451,
3620,0.12950516,3.56E-12,NA,0.066594282,0.901810255,
3621,0.13030044,2.74E-12,NA,0.066677996,0.001767105,
3622,0.13151429,1.49E-12,NA,0.466874302,0.001665921,
3623,0.131556146,1.45E-12,NA,0.059897183,0.408005316,
3624,0.131603687,1.40E-12,NA,0.060399465,0.007250524,
3625,0.134192863,4.75E-13,NA,0.060441322,0.007187625,
3626,0.134486127,4.39E-13,NA,0.060859891,0.006558631,
3627,0.134946553,3.82E-13,NA,0.060943605,0.006432832,
3628,0.136782038,1.58E-13,NA,0.061695951,0.005302262,
3629,0.139371213,5.14E-14,NA,0.061697028,0.005301305,
3630,0.140555374,3.54E-14,NA,0.061906313,0.005115251,
3631,0.141518082,2.24E-14,NA,NA,NA,
3632,0.141960389,1.64E-14,NA,NA,NA,
3633,0.144549564,5.15E-15,NA,NA,NA,
3634,0.145661912,3.62E-15,NA,NA,NA,
3635,0.14713874,1.59E-15,NA,NA,NA,
3636,0.149727915,4.79E-16,NA,NA,NA,
3637,0.152317091,1.42E-16,NA,NA,NA,
3638,0.154906266,4.13E-17,NA,NA,NA,
3639,0.155665704,3.26E-17,NA,NA,NA,
3640,0.157495441,1.18E-17,NA,NA,NA,
3641,0.160084617,3.29E-18,NA,NA,NA,
3642,0.161441952,2.04E-18,NA,NA,NA,
3643,0.162673792,9.05E-19,NA,NA,NA,
3644,0.163911508,5.89E-19,NA,NA,NA,
3645,0.165262968,2.44E-19,NA,NA,NA,
3646,0.167846054,6.49E-20,NA,NA,NA,
3647,0.167852143,6.44E-20,NA,NA,NA,
3648,0.170441318,1.67E-20,NA,NA,NA,
3649,0.173030494,4.25E-21,NA,NA,NA,
3650,0.175619669,1.06E-21,NA,NA,NA,
3651,0.178208845,2.60E-22,NA,NA,NA,
3652,0.18079802,6.26E-23,NA,NA,NA,
3653,0.181072825,5.75E-23,NA,NA,NA,
3654,0.183387195,1.48E-23,NA,NA,NA,
3655,0.185976371,3.42E-24,NA,NA,NA,
3656,0.188565546,7.76E-25,NA,NA,NA,
3657,0.189402342,5.81E-25,NA,NA,NA,
3658,0.191154722,1.73E-25,NA,NA,NA,
3659,0.193743897,3.78E-26,NA,NA,NA,
3660,0.196057585,1.13E-26,NA,NA,NA,
3661,0.196333073,8.10E-27,NA,NA,NA,
3662,0.197522576,5.16E-27,NA,NA,NA,
3663,0.198922248,1.71E-27,NA,NA,NA,
3664,0.201511423,3.52E-28,NA,NA,NA,
3665,0.204100599,7.13E-29,NA,NA,NA,
3666,0.204177818,6.96E-29,NA,NA,NA,
3667,0.206689774,1.42E-29,NA,NA,NA,
3668,0.20927895,2.77E-30,NA,NA,NA,
3669,0.211868125,5.29E-31,NA,NA,NA,
3670,0.2144573,9.94E-32,NA,NA,NA,
3671,0.216525595,3.46E-32,NA,NA,NA,
3672,0.217046476,1.83E-32,NA,NA,NA,
3673,0.219635651,3.31E-33,NA,NA,NA,
3674,0.222224827,5.87E-34,NA,NA,NA,
3675,0.224814002,1.02E-34,NA,NA,NA,
3676,0.227403177,1.75E-35,NA,NA,NA,
3677,0.229992353,2.92E-36,NA,NA,NA,
3678,0.232581528,4.81E-37,NA,NA,NA,
3679,0.235170704,7.75E-38,NA,NA,NA,
3680,0.237759879,1.23E-38,NA,NA,NA,
3681,0.240349055,1.91E-39,NA,NA,NA,
3682,0.24293823,2.90E-40,NA,NA,NA,
3683,0.243104708,2.75E-40,NA,NA,NA,
3684,0.245527405,4.34E-41,NA,NA,NA,
3685,0.248116581,6.37E-42,NA,NA,NA,
3686,0.250705756,9.17E-43,NA,NA,NA,
3687,0.253294932,1.29E-43,NA,NA,NA,
3688,0.253485212,1.21E-43,NA,NA,NA,
3689,0.255884107,1.79E-44,NA,NA,NA,
3690,0.258298753,3.48E-45,NA,NA,NA,
3691,0.258473282,2.44E-45,NA,NA,NA,
3692,0.261062458,3.25E-46,NA,NA,NA,
3693,0.262735581,1.43E-46,NA,NA,NA,
3694,0.263651633,4.26E-47,NA,NA,NA,
3695,0.266240809,5.47E-48,NA,NA,NA,
3696,0.268829984,6.90E-49,NA,NA,NA,
3697,0.271419159,8.53E-50,NA,NA,NA,
3698,0.274008335,1.03E-50,NA,NA,NA,
3699,0.27659751,1.23E-51,NA,NA,NA,
3700,0.279186686,1.44E-52,NA,NA,NA,
3701,0.281775861,1.65E-53,NA,NA,NA,
3702,0.284365037,1.85E-54,NA,NA,NA,
3703,0.286954212,2.05E-55,NA,NA,NA,
3704,0.289543387,2.22E-56,NA,NA,NA,
3705,0.292132563,2.35E-57,NA,NA,NA,
3706,0.294721738,2.45E-58,NA,NA,NA,
